score,param_M1_W,param_M1_L,param_M3_W,param_M3_L,param_M5_W,param_M5_L,param_M6_W,param_M6_L,param_M7_W,param_M7_L,param_M8_W,param_M8_L,param_Cc,param_Rc,param_VBIAS,gain_db,gbw_mhz,phase_margin,dc_gain_db,gbw_hz
0.3530415,3.441454133950269e-05,9.177875809432267e-07,8.166604963236232e-06,5.916648797409265e-07,1.9154041559789467e-05,1.1629131325231258e-06,2.7867719065257305e-05,4.085319867456509e-07,4.2920831157460466e-05,1.0751238171935536e-06,2.3237019984123692e-06,1.978647037139456e-06,4.3462089432839434e-12,799.8822624324184,0.44698645963582306,32.9278,11.288574372906321,86.0568056470843,32.9278,11288574.372906322
0.36210794298772925,2.8214357979870662e-05,9.977505052499653e-07,8.474260447537337e-06,1.0123751709654676e-06,6.211203988219379e-06,1.5904641920096898e-06,7.783878900368304e-05,4.3734617140737104e-07,4.2946190189821356e-05,8.509651922740246e-07,8.818367227873393e-06,1.0114898080965965e-06,4.117396361201464e-12,1323.2350147571647,0.5104989611288164,41.65712,7.018546280490829,94.57864394758698,41.65712,7018546.28049083
0.4143717,2.584738888174702e-05,8.887717384361924e-07,1.3138765921181466e-05,1.010784433609023e-06,1.4983023481849207e-05,7.400414410521785e-07,3.025370222441139e-05,5.75234808471046e-07,7.987835743420049e-05,9.857411058249244e-07,2.5403510509584444e-06,1.05494015196073e-06,1.7427347176570786e-12,917.4926421920543,0.6173720251834692,24.75044,11.909269276669779,84.46788812039256,24.75044,11909269.276669778
1009363.3545185246,1.288804869935792e-05,7.810867541908255e-07,2.924909143572418e-06,1.314939893921299e-06,1.0039900103573558e-05,6.91175934819912e-07,5.8607648361571845e-05,3.727681839540095e-07,5.615483723220308e-05,1.3291056257790635e-06,7.3821094480161025e-06,8.539109342894636e-07,2.910037489911236e-12,1266.9718172224216,0.792327255463914,6.708938,0.6366454814754448,116.37037836118687,6.708938,636645.4814754447
0.391616175,1.4005426802136187e-05,5.26329886542299e-07,5.502569341489405e-06,1.133167286870434e-06,1.621639906041897e-05,1.6799062789786673e-06,3.682313401318608e-05,5.478930053098312e-07,3.7681493549003005e-05,1.361208113024589e-06,3.86894675808534e-06,1.2393319445400074e-06,1.2820172291727215e-12,810.3377812801515,0.7876814522296869,27.78451,12.845013630500024,68.68783771700161,27.78451,12845013.630500024
0.256245,1.0109304191979686e-05,1.3062302256824472e-06,7.4075889959834264e-06,1.6284851733718223e-06,1.5769612402588605e-05,1.6456806104863258e-06,3.387025374423794e-05,4.635713914283718e-07,5.4167775701386525e-05,1.4327666072373458e-06,8.143283547777997e-06,5.255129420574681e-07,1.1164108535049183e-12,1020.5093219110327,0.7683716395121187,45.834,15.358345369186852,63.096864642131834,45.834,15358345.369186852
0.5130612009528792,3.9786466285215946e-05,1.407888159943736e-06,4.7949228099039405e-06,5.731109049706249e-07,1.1092532605470696e-05,1.6761583679848677e-06,3.699568735480061e-05,6.265755145836782e-07,6.9975414328316e-05,5.329166958368795e-07,7.202949948121946e-06,7.509223057190816e-07,1.828111489446448e-12,389.24073440921796,0.612466527259504,26.23065,5.608356961884833,88.0093516330763,26.23065,5608356.961884833
1010530.771289485,1.6220116545939122e-05,1.5000794856820534e-06,2.816930307199871e-06,5.578451849998088e-07,1.6246160871922327e-05,1.1805185709782716e-06,2.7926980260969148e-05,7.462084808266982e-07,2.438908172687581e-05,9.475669773337414e-07,3.0099032624134316e-06,7.123476567451207e-07,1.0152395377795089e-12,1246.0230000676902,0.7604837694395532,40.46407,16.512822209678838,49.469228710515004,40.46407,16512822.209678836
0.37665307499999995,2.0460375991304552e-05,6.22416082793831e-07,4.870467146532369e-06,8.072745127978277e-07,1.0298049821844057e-05,1.212409788255725e-06,3.6015498594166706e-05,4.395754560239147e-07,6.455853543750372e-05,6.590382009803086e-07,3.7146597287755296e-06,9.76990285418284e-07,1.464871975228368e-12,943.4995000559605,0.629924772071458,29.77959,16.544024092703,85.07724765918873,29.77959,16544024.092703002
1009921.9581038206,3.9396736623030585e-05,7.528641710219113e-07,1.4347998806052435e-05,1.2452709061942275e-06,6.221764145390414e-06,1.095703940155956e-06,5.1751439241569006e-05,6.524456444840738e-07,2.1407087137478406e-05,1.1589457102123586e-06,4.4486421181850764e-06,1.751159606509529e-06,1.5850432874896503e-12,1238.5181553598784,0.6428259992657064,46.89132,24.439379518185515,50.07804189617948,46.89132,24439379.518185515
0.4510201257569414,1.0402734913233159e-05,1.2085153151109858e-06,6.987918019412892e-06,1.2794545657353157e-06,1.2763427091365683e-05,1.2469149637814345e-06,6.393802734619337e-05,5.94526313893994e-07,6.997343949958298e-05,1.2249146411901565e-06,3.2882498948554826e-06,9.212383533475898e-07,2.541585389503021e-12,1152.0676983210096,0.4360533502984876,34.01005,5.756179969722345,89.56420277803598,34.01005,5756179.969722345
1008604.2928715475,9.23594415417222e-06,1.409283370828548e-06,2.8492189070814726e-06,6.005347334952722e-07,9.529932728200197e-06,1.9224940890182953e-06,4.174793236192676e-05,7.466006304950039e-07,6.324472868112783e-05,7.139723796507066e-07,7.541599017812725e-06,9.75149729469467e-07,3.661940352369536e-12,1170.5271559321586,0.5354861015207546,25.79661,1.3957071284524536,92.86482141605167,25.79661,1395707.1284524535
1006893.3605134441,6.3529964687739055e-06,1.8997197241849829e-06,2.6558344929144185e-06,1.9092425826795482e-06,1.596880685505626e-05,1.364557722917852e-06,7.780616572014166e-05,7.793625710580284e-07,6.101547908571985e-05,8.302110842672483e-07,7.1399139002124495e-06,5.097413557574559e-07,2.3716355335681767e-12,791.2218360540371,0.6691313527495015,39.65694,3.106639486555984,86.46460974395865,39.65694,3106639.486555984
